"hgnc_symbol","uniprotswissprot","interpro","interpro_description"
"RHO","P08100","IPR001760","Opsin"
"RHO","P08100","IPR017452","GPCR, rhodopsin-like, 7TM"
"RHO","P08100","IPR019477","Rhodopsin, N-terminal"
"RHO","P08100","IPR027430","Visual pigments (opsins) retinal binding site"
"LPA","P08519","IPR000001","Kringle"
"LPA","P08519","IPR001254","Serine proteases, trypsin domain"
"LPA","P08519","IPR001314","Peptidase S1A, chymotrypsin family"
"LPA","P08519","IPR009003","Peptidase S1, PA clan"
"LPA","P08519","IPR013806","Kringle-like fold"
"LPA","P08519","IPR018056","Kringle, conserved site"
"LPA","P08519","IPR018114","Serine proteases, trypsin family, histidine active site"
"LPA","P08519","IPR033116","Serine proteases, trypsin family, serine active site"
"PTPRC","P08575","IPR003961","Fibronectin type III"
"PTPRC","P08575","IPR013783","Immunoglobulin-like fold"
"PTPRC","P08575","IPR016335","Receptor-type tyrosine-protein phosphatase C"
"PTPRC","P08575","IPR024739","Protein tyrosine phosphatase, receptor type, N-terminal"
"ITGA5","P08648","IPR000413","Integrin alpha chain"
"ITGA5","P08648","IPR013517","FG-GAP repeat"
"ITGA5","P08648","IPR013519","Integrin alpha beta-propellor"
"ITGA5","P08648","IPR013649","Integrin alpha-2"
"ITGA5","P08648","IPR018184","Integrin alpha chain, C-terminal cytoplasmic region, conserved site"
"ITGA5","P08648","IPR032695","Integrin domain"
"F7","P08709","IPR000152","EGF-type aspartate/asparagine hydroxylation site"
"F7","P08709","IPR000294","Gamma-carboxyglutamic acid-rich (GLA) domain"
"F7","P08709","IPR000742","EGF-like domain"
"F7","P08709","IPR001254","Serine proteases, trypsin domain"
"F7","P08709","IPR001314","Peptidase S1A, chymotrypsin family"
"F7","P08709","IPR001881","EGF-like calcium-binding domain"
"F7","P08709","IPR009003","Peptidase S1, PA clan"
"F7","P08709","IPR013032","EGF-like, conserved site"
"F7","P08709","IPR017857","Coagulation factor, subgroup, Gla domain"
"F7","P08709","IPR018097","EGF-like calcium-binding, conserved site"
"F7","P08709","IPR018114","Serine proteases, trypsin family, histidine active site"
"F7","P08709","IPR033116","Serine proteases, trypsin family, serine active site"
"F7","P08709","IPR033190","Coagulation factor VII"
"CELA3B","P08861","IPR001254","Serine proteases, trypsin domain"
"CELA3B","P08861","IPR001314","Peptidase S1A, chymotrypsin family"
"CELA3B","P08861","IPR009003","Peptidase S1, PA clan"
"CELA3B","P08861","IPR018114","Serine proteases, trypsin family, histidine active site"
"CELA3B","P08861","IPR033116","Serine proteases, trypsin family, serine active site"
"PAEP","P09466","IPR000566","Lipocalin/cytosolic fatty-acid binding domain"
"PAEP","P09466","IPR002345","Lipocalin"
"PAEP","P09466","IPR002447","Beta-lactoglobulin"
"PAEP","P09466","IPR012674","Calycin"
"PAEP","P09466","IPR022272","Lipocalin family conserved site"
"ALPI","P09923","IPR001952","Alkaline phosphatase"
"ALPI","P09923","IPR017849","Alkaline phosphatase-like, alpha/beta/alpha"
"ALPI","P09923","IPR017850","Alkaline-phosphatase-like, core domain"
"ALPI","P09923","IPR018299","Alkaline phosphatase, active site"
"RNASE2","P10153","IPR001427","Pancreatic ribonuclease"
"RNASE2","P10153","IPR023411","Ribonuclease A, active site"
"RNASE2","P10153","IPR023412","Ribonuclease A-domain"
"SPP1","P10451","IPR002038","Osteopontin"
"SPP1","P10451","IPR019841","Osteopontin, conserved site"
"CHGA","P10645","IPR001819","Chromogranin A/B"
"CHGA","P10645","IPR001990","Chromogranin A/B/C"
"CHGA","P10645","IPR018054","Chromogranin, conserved site"
"TFPI","P10646","IPR002223","Pancreatic trypsin inhibitor Kunitz domain"
"TFPI","P10646","IPR020901","Proteinase inhibitor I2, Kunitz, conserved site"
"SLC2A1","P11166","IPR002439","Glucose transporter, type 1 (GLUT1)"
"SLC2A1","P11166","IPR003663","Sugar/inositol transporter"
"SLC2A1","P11166","IPR005828","Major facilitator,  sugar transporter-like"
"SLC2A1","P11166","IPR005829","Sugar transporter, conserved site"
"SLC2A1","P11166","IPR020846","Major facilitator superfamily domain"
"EPB41","P11171","IPR000299","FERM domain"
"EPB41","P11171","IPR000798","Ezrin/radixin/moesin-like"
"EPB41","P11171","IPR007477","SAB domain"
"EPB41","P11171","IPR008379","Band 4.1, C-terminal"
"EPB41","P11171","IPR011993","PH domain-like"
"EPB41","P11171","IPR014352","FERM/acyl-CoA-binding protein, 3-helical bundle"
"EPB41","P11171","IPR014847","FERM adjacent (FA)"
"EPB41","P11171","IPR018979","FERM, N-terminal"
"EPB41","P11171","IPR018980","FERM, C-terminal PH-like domain"
"EPB41","P11171","IPR019747","FERM conserved site"
"EPB41","P11171","IPR019748","FERM central domain"
"EPB41","P11171","IPR019749","Band 4.1 domain"
"EPB41","P11171","IPR029071","Ubiquitin-related domain"
"LAMP1","P11279","IPR002000","Lysosome-associated membrane glycoprotein"
"LAMP1","P11279","IPR018134","Lysosome-associated membrane glycoprotein, conserved site"
"SRF","P11831","IPR002100","Transcription factor, MADS-box"
"LAMP2","P13473","IPR002000","Lysosome-associated membrane glycoprotein"
"LAMP2","P13473","IPR018134","Lysosome-associated membrane glycoprotein, conserved site"
"KRT13","P13646","IPR001664","Intermediate filament protein"
"KRT13","P13646","IPR002957","Keratin, type I"
"KRT13","P13646","IPR018039","Intermediate filament protein, conserved site"
"CD59","P13987","IPR016054","Ly-6 antigen/uPA receptor-like"
"CD59","P13987","IPR018363","CD59 antigen, conserved site"
"CD59","P13987","IPR027101","CD59 glycoprotein"
"SELL","P14151","IPR000436","Sushi/SCR/CCP domain"
"SELL","P14151","IPR000742","EGF-like domain"
"SELL","P14151","IPR001304","C-type lectin-like"
"SELL","P14151","IPR002396","Selectin superfamily"
"SELL","P14151","IPR013032","EGF-like, conserved site"
"SELL","P14151","IPR016186","C-type lectin-like/link domain"
"SELL","P14151","IPR016187","C-type lectin fold"
"SELL","P14151","IPR016348","L-selectin"
"SELL","P14151","IPR018378","C-type lectin, conserved site"
"HGF","P14210","IPR000001","Kringle"
"HGF","P14210","IPR001254","Serine proteases, trypsin domain"
"HGF","P14210","IPR001314","Peptidase S1A, chymotrypsin family"
"HGF","P14210","IPR003609","PAN/Apple domain"
"HGF","P14210","IPR009003","Peptidase S1, PA clan"
"HGF","P14210","IPR013806","Kringle-like fold"
"HGF","P14210","IPR018056","Kringle, conserved site"
"HGF","P14210","IPR024174","Hepatocyte growth factor-like"
"HGF","P14210","IPR027284","Hepatocyte growth factor"
"MMP9","P14780","IPR000562","Fibronectin, type II, collagen-binding"
"MMP9","P14780","IPR000585","Hemopexin-like domain"
"MMP9","P14780","IPR001818","Peptidase M10, metallopeptidase"
"MMP9","P14780","IPR002477","Peptidoglycan binding-like"
"MMP9","P14780","IPR006026","Peptidase, metallopeptidase"
"MMP9","P14780","IPR013806","Kringle-like fold"
"MMP9","P14780","IPR018486","Hemopexin, conserved site"
"MMP9","P14780","IPR018487","Hemopexin-like repeats"
"MMP9","P14780","IPR021158","Peptidase M10A, cysteine switch, zinc binding site"
"MMP9","P14780","IPR021190","Peptidase M10A"
"MMP9","P14780","IPR024079","Metallopeptidase, catalytic domain"
"MMP9","P14780","IPR028688","Matrix metalloproteinase-9"
"IFNGR1","P15260","IPR003961","Fibronectin type III"
"IFNGR1","P15260","IPR008355","Interferon gamma receptor alpha subunit"
"IFNGR1","P15260","IPR013783","Immunoglobulin-like fold"
"IFNGR1","P15260","IPR021126","Interferon gamma receptor, poxvirus/mammal"
"ARSA","P15289","IPR000917","Sulfatase, N-terminal"
"ARSA","P15289","IPR017849","Alkaline phosphatase-like, alpha/beta/alpha"
"ARSA","P15289","IPR017850","Alkaline-phosphatase-like, core domain"
"ARSA","P15289","IPR024607","Sulfatase, conserved site"
"MUC1","P15941","IPR000082","SEA domain"
"MUC1","P15941","IPR023217","Mucin-1"
"MUC1","P15941","",""
"SPN","P16150","",""
"NAGA","P17050","IPR000111","Glycoside hydrolase family 27/36, conserved site"
"NAGA","P17050","IPR002241","Glycoside hydrolase, family 27"
"NAGA","P17050","IPR013785","Aldolase-type TIM barrel"
"NAGA","P17050","IPR017853","Glycoside hydrolase superfamily"
"ORM2","P19652","IPR000566","Lipocalin/cytosolic fatty-acid binding domain"
"ORM2","P19652","IPR001500","Alpha-1-acid glycoprotein"
"ORM2","P19652","IPR012674","Calycin"
"ITIH2","P19823","IPR002035","von Willebrand factor, type A"
"ITIH2","P19823","IPR010600","Inter-alpha-trypsin inhibitor heavy chain, C-terminal"
"ITIH2","P19823","IPR013694","VIT domain"
"ITIH1","P19827","IPR002035","von Willebrand factor, type A"
"ITIH1","P19827","IPR010600","Inter-alpha-trypsin inhibitor heavy chain, C-terminal"
"ITIH1","P19827","IPR013694","VIT domain"
"ZP3","P21754","IPR001507","Zona pellucida domain"
"ZP3","P21754","IPR017977","Zona pellucida domain, conserved site"
"PROZ","P22891","IPR000152","EGF-type aspartate/asparagine hydroxylation site"
"PROZ","P22891","IPR000294","Gamma-carboxyglutamic acid-rich (GLA) domain"
"PROZ","P22891","IPR000742","EGF-like domain"
"PROZ","P22891","IPR001254","Serine proteases, trypsin domain"
"PROZ","P22891","IPR001881","EGF-like calcium-binding domain"
"PROZ","P22891","IPR009003","Peptidase S1, PA clan"
"PROZ","P22891","IPR013032","EGF-like, conserved site"
"PROZ","P22891","IPR017857","Coagulation factor, subgroup, Gla domain"
"IL12B","P29460","IPR003530","Long hematopoietin receptor, soluble alpha chain, conserved site"
"IL12B","P29460","IPR003598","Immunoglobulin subtype 2"
"IL12B","P29460","IPR003961","Fibronectin type III"
"IL12B","P29460","IPR007110","Immunoglobulin-like domain"
"IL12B","P29460","IPR013783","Immunoglobulin-like fold"
"IL12B","P29460","IPR015528","Interleukin-12 beta"
"IL12B","P29460","IPR019482","Interleukin-12 beta, central domain"
"CD40LG","P29965","IPR003263","CD40 ligand"
"CD40LG","P29965","IPR006052","Tumour necrosis factor domain"
"CD40LG","P29965","IPR008983","Tumour necrosis factor-like domain"
"CD40LG","P29965","IPR021184","Tumour necrosis factor, conserved site"
"ICAM3","P32942","IPR003599","Immunoglobulin subtype"
"ICAM3","P32942","IPR003987","Intercellular adhesion molecule/vascular cell adhesion molecule, N-terminal"
"ICAM3","P32942","IPR003988","Intercellular adhesion molecule"
"ICAM3","P32942","IPR007110","Immunoglobulin-like domain"
"ICAM3","P32942","IPR013768","Intercellular adhesion molecule, N-terminal"
"ICAM3","P32942","IPR013783","Immunoglobulin-like fold"
"CDH5","P33151","IPR000233","Cadherin, cytoplasmic domain"
"CDH5","P33151","IPR002126","Cadherin"
"CDH5","P33151","IPR015919","Cadherin-like"
"CDH5","P33151","IPR020894","Cadherin conserved site"
"CDH5","P33151","IPR027397","Catenin binding domain"
"CDH5","P33151","IPR030052","VE-cadherin"
"NUP62","P37198","IPR007758","Nucleoporin, NSP1-like, C-terminal"
"NUP62","P37198","IPR026010","Nucleoporin NSP1/NUP62"
"NUP62","P37198","IPR033072","Nuclear pore glycoprotein p62, metazoa"
"COL18A1","P39060","IPR001791","Laminin G domain"
"COL18A1","P39060","IPR008160","Collagen triple helix repeat"
"COL18A1","P39060","IPR010515","Collagenase NC10/endostatin"
"COL18A1","P39060","IPR013320","Concanavalin A-like lectin/glucanase domain"
"COL18A1","P39060","IPR016186","C-type lectin-like/link domain"
"COL18A1","P39060","IPR016187","C-type lectin fold"
"COL18A1","P39060","IPR010363","Domain of unknown function DUF959, collagen XVIII, N-terminal"
"COL18A1","P39060","IPR020067","Frizzled domain"
"THPO","P40225","IPR001323","Erythropoietin/thrombopoeitin"
"THPO","P40225","IPR003978","Thrombopoeitin"
"THPO","P40225","IPR009079","Four-helical cytokine-like, core"
"THPO","P40225","IPR019767","Erythropoietin/thrombopoeitin, conserved site"
"BACE1","P56817","IPR001461","Aspartic peptidase A1 family"
"BACE1","P56817","IPR001969","Aspartic peptidase, active site"
"BACE1","P56817","IPR009119","Beta-secretase BACE"
"BACE1","P56817","IPR009120","Beta-secretase BACE1"
"BACE1","P56817","IPR021109","Aspartic peptidase domain"
"BACE1","P56817","IPR033121","Peptidase family A1 domain"
"IL2","P60568","IPR000779","Interleukin-2"
"IL2","P60568","IPR009079","Four-helical cytokine-like, core"
"IL2","P60568","IPR030477","Interleukin-2, conserved site"
"MUC5AC","P98088","IPR001007","VWFC domain"
"MUC5AC","P98088","IPR001846","von Willebrand factor, type D domain"
"MUC5AC","P98088","IPR002919","Trypsin Inhibitor-like, cysteine rich domain"
"MUC5AC","P98088","IPR006207","Cystine knot, C-terminal"
"MUC5AC","P98088","IPR014853","Uncharacterised domain, cysteine-rich"
"MUC5AC","P98088","IPR025155","WxxW domain"
"SELPLG","Q14242","",""
"NBR1","Q14596","IPR000270","PB1 domain"
"NBR1","Q14596","IPR000433","Zinc finger, ZZ-type"
"NBR1","Q14596","IPR009060","UBA-like"
"NBR1","Q14596","IPR015940","Ubiquitin-associated domain"
"NBR1","Q14596","IPR032350","Next to BRCA1, central domain"
"NBR1","Q14596","IPR033513","Next to BRCA1 gene 1 protein"
"MUC4","Q99102","IPR000742","EGF-like domain"
"MUC4","Q99102","IPR001846","von Willebrand factor, type D domain"
"MUC4","Q99102","IPR003886","NIDO domain"
"MUC4","Q99102","IPR005533","AMOP domain"
"MUC5B","Q9HC84","IPR001007","VWFC domain"
"MUC5B","Q9HC84","IPR001846","von Willebrand factor, type D domain"
"MUC5B","Q9HC84","IPR002919","Trypsin Inhibitor-like, cysteine rich domain"
"MUC5B","Q9HC84","IPR006207","Cystine knot, C-terminal"
"MUC5B","Q9HC84","IPR014853","Uncharacterised domain, cysteine-rich"
"MUC5B","Q9HC84","IPR025155","WxxW domain"
