#Unique identifier for interactor A	Unique identifier for interactor B	Alternative identifier for interactor A	Alternative identifier for interactor B	Aliases for A	Aliases for B	Interaction detection methods	First author	Identifier of the publication	NCBI Taxonomy identifier for interactor A	NCBI Taxonomy identifier for interactor B	Interaction types	Source databases	Interaction identifier(s)	Confidence score	Complex expansion	Biological role A	Biological role B	Experimental role A	Experimental role B	Interactor type A	Interactor type B	Xref for interactor A	Xref for interactor B	Xref for the interaction	Annotations for interactor A	Annotations for interactor B	Annotations for the interaction	NCBI Taxonomy identifier for the host organism	Parameters of the interaction	Creation date	Update date	Checksum for interactor A	Checksum for interactor B	Checksum for interaction	negative	Feature(s) for interactor A	Feature(s) for interactor B	Stoichiometry for interactor A	Stoichiometry for interactor B	Participant identification method for interactor A	Participant identification method for interactor B
chebi:"CHEBI:28815"	uniprotkb:P01579	matrixdb:GAG_2	matrixdb:P01579	matrixdb:Heparan Sulfate(short label)	uniprotkb:ifng(gene name)	psi-mi:"MI:0004"(affinity chromatography technology)	Lortat-Jacob et al.(1995)	pubmed:7654188	-	taxid:9606("Homo sapiens")	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0917"(MatrixDB)	matrixdb:GAG_2__P01579_7654188_MatrixDB_1	-	-	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0498"(prey)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0904"(polysaccharide)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	-	taxid:-1("in vitro")	-	-	-	-	-	-	-	-	-	-	-	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0078"(nucleotide sequence identification)
chebi:"CHEBI:28815"	uniprotkb:P02649	matrixdb:GAG_2	matrixdb:P02649	matrixdb:Heparan Sulfate(short label)	uniprotkb:APOE(gene name)	psi-mi:"MI:0107"(surface plasmon resonance)	Shuvaev et al.(1999)	pubmed:10526164	-	taxid:9606("Homo sapiens")	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0917"(MatrixDB)	matrixdb:GAG_2__P02649_10526164_MatrixDB_1	-	-	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	psi-mi:"MI:0904"(polysaccharide)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	comment:"Experiment performed with the recombinant apoE3 isoform"	taxid:-1("in vitro")	kd:12.3(nanomolar)|kon:23600(M-1.s-1)|koff:0.00029(s-1)	-	-	-	-	-	-	-	-	-	-	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0078"(nucleotide sequence identification)
chebi:"CHEBI:28815"	uniprotkb:P02751	matrixdb:GAG_2	matrixdb:P02751	matrixdb:Heparan Sulfate(short label)	uniprotkb:fn1(gene name)	psi-mi:"MI:0892"(solid phase assay)	LeBaron et al.(1989)	pubmed:2524477	-	taxid:9606("Homo sapiens")	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0917"(MatrixDB)	matrixdb:GAG_2__P02751_2524477_MatrixDB_1	-	-	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0498"(prey)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0904"(polysaccharide)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	comment:"Figure 1"	taxid:-1("in vitro")	-	-	-	-	-	-	-	-	-	-	-	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0396"(predetermined participant)
chebi:"CHEBI:28815"	uniprotkb:P02751	matrixdb:GAG_2	matrixdb:P02751	matrixdb:Heparan Sulfate(short label)	uniprotkb:fn1(gene name)	psi-mi:"MI:0004"(affinity chromatography technology)	Walker et al.(1996)	pubmed:8760376	-	taxid:9606("Homo sapiens")	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0917"(MatrixDB)	matrixdb:GAG_2__P02751_8760376_MatrixDB_1	-	-	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0498"(prey)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0904"(polysaccharide)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	comment:"Figure 1"	taxid:-1("in vitro")	-	-	-	-	-	-	-	-	-	-	-	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0396"(predetermined participant)
chebi:"CHEBI:28815"	uniprotkb:P02751	matrixdb:GAG_2	matrixdb:P02751	matrixdb:Heparan Sulfate(short label)	uniprotkb:fn1(gene name)	psi-mi:"MI:0892"(solid phase assay)	Mostafavi-Pour et al.(2001)	pubmed:11246004	-	taxid:9606("Homo sapiens")	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0917"(MatrixDB)	matrixdb:GAG_2__P02751_11246004_MatrixDB_1	-	-	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0498"(prey)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0904"(polysaccharide)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	comment:"Figure 2"	taxid:-1("in vitro")	-	-	-	-	-	-	-	-	-	-	-	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0078"(nucleotide sequence identification)
chebi:"CHEBI:28815"	uniprotkb:P02776	matrixdb:GAG_2	matrixdb:P02776	matrixdb:Heparan Sulfate(short label)	uniprotkb:PF4(gene name)	psi-mi:"MI:0049"(filter binding)	Stringer et al.(1997)	pubmed:9252363	-	taxid:9606("Homo sapiens")	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0917"(MatrixDB)	matrixdb:GAG_2__P02776_9252363_MatrixDB_1	-	-	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0497"(neutral component)	psi-mi:"MI:0497"(neutral component)	psi-mi:"MI:0904"(polysaccharide)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	comment:"1 molecule of HS binds per PF4 tetramer and 6 molecules bind with much lower affinity"|comment:"Figure 1"	taxid:-1("in vitro")	kd:15.9(nanomolar)	-	-	-	-	-	-	-	-	-	-	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0396"(predetermined participant)
chebi:"CHEBI:28815"	uniprotkb:P03973	matrixdb:GAG_2	matrixdb:P03973	matrixdb:Heparan Sulfate(short label)	uniprotkb:SLPI(gene name)	psi-mi:"MI:0004"(affinity chromatography technology)	Fath et al.(1998)	pubmed:9593692	-	taxid:9606("Homo sapiens")	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0917"(MatrixDB)	matrixdb:GAG_2__P03973_9593692_MatrixDB_1	-	-	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0498"(prey)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0904"(polysaccharide)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	-	taxid:-1("in vitro")	-	-	-	-	-	-	-	-	-	-	-	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0078"(nucleotide sequence identification)
chebi:"CHEBI:28815"	uniprotkb:P04085	matrixdb:GAG_2	matrixdb:P04085	matrixdb:Heparan Sulfate(short label)	uniprotkb:pdgfa(gene name)	psi-mi:"MI:0049"(filter binding)	Feyzi et al.(1997)	pubmed:9038157	-	taxid:9606("Homo sapiens")	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0917"(MatrixDB)	matrixdb:GAG_2__P04085_9038157_MatrixDB_1	-	-	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0497"(neutral component)	psi-mi:"MI:0497"(neutral component)	psi-mi:"MI:0904"(polysaccharide)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	comment:""|comment:"Figure data not shown"	taxid:-1("in vitro")	-	-	-	-	-	-	-	-	-	-	-	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0078"(nucleotide sequence identification)
chebi:"CHEBI:28815"	uniprotkb:P04085	matrixdb:GAG_2	matrixdb:P04085	matrixdb:Heparan Sulfate(short label)	uniprotkb:pdgfa(gene name)	psi-mi:"MI:0004"(affinity chromatography technology)	Feyzi et al.(1997)	pubmed:9038157	-	taxid:9606("Homo sapiens")	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0917"(MatrixDB)	matrixdb:GAG_2__P04085_9038157_MatrixDB_2	-	-	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	psi-mi:"MI:0904"(polysaccharide)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	comment:"-"|comment:"Figure 1"	taxid:-1("in vitro")	-	-	-	-	-	-	-	-	-	-	-	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0078"(nucleotide sequence identification)
chebi:"CHEBI:28815"	uniprotkb:P04085	matrixdb:GAG_2	matrixdb:P04085	matrixdb:Heparan Sulfate(short label)	uniprotkb:pdgfa(gene name)	psi-mi:"MI:0004"(affinity chromatography technology)	Feyzi et al.(1997)	pubmed:9038157	-	taxid:9606("Homo sapiens")	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0917"(MatrixDB)	matrixdb:GAG_2__P04085_9038157_MatrixDB_3	-	-	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	psi-mi:"MI:0904"(polysaccharide)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	comment:"Figure 1"	taxid:-1("in vitro")	-	-	-	-	-	-	-	-	-	-	-	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0078"(nucleotide sequence identification)
chebi:"CHEBI:28815"	uniprotkb:P04085	matrixdb:GAG_2	matrixdb:P04085	matrixdb:Heparan Sulfate(short label)	uniprotkb:pdgfa(gene name)	psi-mi:"MI:0004"(affinity chromatography technology)	Feyzi et al.(1997)	pubmed:9038157	-	taxid:9606("Homo sapiens")	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0917"(MatrixDB)	matrixdb:GAG_2__P04085_9038157_MatrixDB_4	-	-	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0498"(prey)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0904"(polysaccharide)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	comment:"-"|comment:"Figure 2"	taxid:-1("in vitro")	-	-	-	-	-	-	-	-	-	-	-	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0078"(nucleotide sequence identification)
chebi:"CHEBI:28815"	uniprotkb:P05230	matrixdb:GAG_2	matrixdb:P05230	matrixdb:Heparan Sulfate(short label)	uniprotkb:FGF1(gene name)	psi-mi:"MI:0004"(affinity chromatography technology)	Fromm et al.(1997)	pubmed:9343372	-	taxid:9606("Homo sapiens")	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0917"(MatrixDB)	matrixdb:GAG_2__P05230_9343372_MatrixDB_1	-	-	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0498"(prey)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0904"(polysaccharide)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	comment:"Assay performed with a mixture of heparan sulfate oligosaccharides prepared by partial digestion of HS by heparin lyase III"|comment:"Figure 2"	taxid:-1("in vitro")	kd:5000(nanomolar)	-	-	-	-	-	-	-	-	-	-	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0078"(nucleotide sequence identification)
chebi:"CHEBI:28815"	uniprotkb:P05230	matrixdb:GAG_2	matrixdb:P05230	matrixdb:Heparan Sulfate(short label)	uniprotkb:FGF1(gene name)	psi-mi:"MI:0065"(isothermal titration calorimetry)	Fromm et al.(1997)	pubmed:9343372	-	taxid:9606("Homo sapiens")	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0917"(MatrixDB)	matrixdb:GAG_2__P05230_9343372_MatrixDB_2	-	-	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0497"(neutral component)	psi-mi:"MI:0497"(neutral component)	psi-mi:"MI:0904"(polysaccharide)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	comment:"Experiment performed with synthetic peptides of FGF-1"	taxid:-1("in vitro")	kd:4400(nanomolar)	-	-	-	-	-	-	-	-	-	-	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0078"(nucleotide sequence identification)
chebi:"CHEBI:28815"	uniprotkb:P05230	matrixdb:GAG_2	matrixdb:P05230	matrixdb:Heparan Sulfate(short label)	uniprotkb:FGF1(gene name)	psi-mi:"MI:0605"(enzymatic footprinting)	Fromm et al.(1997)	pubmed:9343372	-	taxid:9606("Homo sapiens")	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0917"(MatrixDB)	matrixdb:GAG_2__P05230_9343372_MatrixDB_3	-	-	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0497"(neutral component)	psi-mi:"MI:0497"(neutral component)	psi-mi:"MI:0904"(polysaccharide)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	comment:"The protected oligosaccharides having high FGF-1 affinity are primarily of octasaccharide and decasaccharide size"|comment:"Figure 3"	taxid:-1("in vitro")	-	-	-	-	-	-	-	-	-	-	-	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0078"(nucleotide sequence identification)
chebi:"CHEBI:28815"	uniprotkb:P07996	matrixdb:GAG_2	matrixdb:P07996	matrixdb:Heparan Sulfate(short label)	uniprotkb:THBS1(gene name)	psi-mi:"MI:0004"(affinity chromatography technology)	Feitsma et al.(2000)	pubmed:10734084	-	taxid:9606("Homo sapiens")	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0917"(MatrixDB)	matrixdb:GAG_2__P07996_10734084_MatrixDB_1	-	-	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0498"(prey)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0904"(polysaccharide)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	comment:"Figure 2"	taxid:-1("in vitro")	-	-	-	-	-	-	-	-	-	-	-	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0396"(predetermined participant)
uniprotkb:P07996	chebi:"CHEBI:28815"	matrixdb:P07996	matrixdb:GAG_2	uniprotkb:THBS1(gene name)	matrixdb:Heparan Sulfate(short label)	psi-mi:"MI:0921"(surface plasmon resonance array)	Faye et al.(2009)	pubmed:19542224	taxid:9606("Homo sapiens")	-	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0917"(MatrixDB)	matrixdb:GAG_2__P07996_19542224_MatrixDB_1	-	-	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0498"(prey)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0904"(polysaccharide)	-	-	-	-	-	-	taxid:-1("in vitro")	-	-	-	-	-	-	-	-	-	-	-	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0396"(predetermined participant)
chebi:"CHEBI:28815"	uniprotkb:P08253	matrixdb:GAG_2	matrixdb:P08253	matrixdb:Heparan Sulfate(short label)	uniprotkb:mmp2(gene name)	psi-mi:"MI:0004"(affinity chromatography technology)	Wallon et al.(1997)	pubmed:9054449	-	taxid:9606("Homo sapiens")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0917"(MatrixDB)	matrixdb:GAG_2__P08253_9054449_MatrixDB_1	-	-	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	psi-mi:"MI:0904"(polysaccharide)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	-	taxid:-1("in vitro")	-	-	-	-	-	-	-	-	-	-	-	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0078"(nucleotide sequence identification)
chebi:"CHEBI:28815"	uniprotkb:P08581	matrixdb:GAG_2	matrixdb:P08581	matrixdb:Heparan Sulfate(short label)	uniprotkb:met(gene name)	psi-mi:"MI:0892"(solid phase assay)	Rubin et al.(2001)	pubmed:11435444	-	taxid:9606("Homo sapiens")	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0917"(MatrixDB)	matrixdb:GAG_2__P08581_11435444_MatrixDB_1	-	-	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0498"(prey)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0904"(polysaccharide)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	comment:"HGF receptor extracellular domain in fusion with the Fc portion of IgG."|comment:"Figure 8"	taxid:-1("in vitro")	-	-	-	-	-	-	-	-	-	-	-	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0078"(nucleotide sequence identification)
uniprotkb:P08587	chebi:"CHEBI:28815"	matrixdb:P08587	matrixdb:GAG_2	uniprotkb:tgm2(gene name)	matrixdb:Heparan Sulfate(short label)	psi-mi:"MI:0921"(surface plasmon resonance array)	Faye et al.(2009)	pubmed:19542224	taxid:10144("Cavia cutleri")	-	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0917"(MatrixDB)	matrixdb:GAG_2__P08587_19542224_MatrixDB_1	-	-	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0498"(prey)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0904"(polysaccharide)	-	-	-	-	-	-	taxid:-1("in vitro")	-	-	-	-	-	-	-	-	-	-	-	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0396"(predetermined participant)
chebi:"CHEBI:28815"	uniprotkb:P09038	matrixdb:GAG_2	matrixdb:P09038	matrixdb:Heparan Sulfate(short label)	uniprotkb:fgf2(gene name)	psi-mi:"MI:0004"(affinity chromatography technology)	Turnbull et al.(1992)	pubmed:1587820	-	taxid:9606("Homo sapiens")	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0917"(MatrixDB)	matrixdb:GAG_2__P09038_1587820_MatrixDB_1	-	-	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0498"(prey)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0904"(polysaccharide)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	comment:"Figure 1"	taxid:-1("in vitro")	-	-	-	-	-	-	-	-	-	-	-	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0093"(protein sequence identification)
chebi:"CHEBI:28815"	uniprotkb:P10039	matrixdb:GAG_2	matrixdb:P10039	matrixdb:Heparan Sulfate(short label)	uniprotkb:tnc(gene name)	psi-mi:"MI:0892"(solid phase assay)	Weber et al.(1995)	pubmed:7533163	-	taxid:9031("Gallus gallus")	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0917"(MatrixDB)	matrixdb:GAG_2__P10039_7533163_MatrixDB_1	-	-	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0498"(prey)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0904"(polysaccharide)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	comment:"Figure 5"	taxid:-1("in vitro")	-	-	-	-	-	-	-	-	-	-	-	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0078"(nucleotide sequence identification)
chebi:"CHEBI:28815"	uniprotkb:P10145	matrixdb:GAG_2	matrixdb:P10145	matrixdb:Heparan Sulfate(short label)	uniprotkb:CXCL8(gene name)	psi-mi:"MI:0049"(filter binding)	Spillmann et al.(1998)	pubmed:9624135	-	taxid:9606("Homo sapiens")	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0917"(MatrixDB)	matrixdb:GAG_2__P10145_9624135_MatrixDB_1	-	-	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0497"(neutral component)	psi-mi:"MI:0497"(neutral component)	psi-mi:"MI:0904"(polysaccharide)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	-	taxid:-1("in vitro")	-	-	-	-	-	-	-	-	-	-	-	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0078"(nucleotide sequence identification)
chebi:"CHEBI:28815"	uniprotkb:P11151	matrixdb:GAG_2	matrixdb:P11151	matrixdb:Heparan Sulfate(short label)	uniprotkb:lpl(gene name)	psi-mi:"MI:0004"(affinity chromatography technology)	Spillmann et al.(2006)	pubmed:16782967	-	taxid:9913("Bos taurus")	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0917"(MatrixDB)	matrixdb:GAG_2__P11151_16782967_MatrixDB_1	-	-	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0498"(prey)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0904"(polysaccharide)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	comment:"Figure 1"	taxid:-1("in vitro")	-	-	-	-	-	-	-	-	-	-	-	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0396"(predetermined participant)
chebi:"CHEBI:28815"	uniprotkb:P11151	matrixdb:GAG_2	matrixdb:P11151	matrixdb:Heparan Sulfate(short label)	uniprotkb:lpl(gene name)	psi-mi:"MI:0004"(affinity chromatography technology)	Spillmann et al.(2006)	pubmed:16782967	-	taxid:9913("Bos taurus")	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0917"(MatrixDB)	matrixdb:GAG_2__P11151_16782967_MatrixDB_2	-	-	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0498"(prey)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0904"(polysaccharide)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	comment:"Figure 2A"	taxid:-1("in vitro")	-	-	-	-	-	-	-	-	-	-	-	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0396"(predetermined participant)
uniprotkb:P14151	chebi:"CHEBI:28815"	matrixdb:P14151	matrixdb:GAG_2	uniprotkb:SELL(gene name)	matrixdb:Heparan Sulfate(short label)	psi-mi:"MI:0004"(affinity chromatography technology)	Koenig et al.(1998)	pubmed:9466983	taxid:9606("Homo sapiens")	-	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0917"(MatrixDB)	matrixdb:GAG_2__P14151_9466983_MatrixDB_1	-	-	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0904"(polysaccharide)	-	-	-	-	-	-	taxid:-1("in vitro")	-	-	-	-	-	-	-	-	-	-	-	psi-mi:"MI:0078"(nucleotide sequence identification)	psi-mi:"MI:0396"(predetermined participant)
chebi:"CHEBI:28815"	uniprotkb:P14210	matrixdb:GAG_2	matrixdb:P14210	matrixdb:Heparan Sulfate(short label)	uniprotkb:HGF(gene name)	psi-mi:"MI:0004"(affinity chromatography technology)	Lyon et al.(1994)	pubmed:8157651	-	taxid:9606("Homo sapiens")	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0917"(MatrixDB)	matrixdb:GAG_2__P14210_8157651_MatrixDB_1	-	-	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0498"(prey)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0904"(polysaccharide)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	comment:"Figure 2"	taxid:-1("in vitro")	-	-	-	-	-	-	-	-	-	-	-	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0078"(nucleotide sequence identification)
chebi:"CHEBI:28815"	uniprotkb:P14210	matrixdb:GAG_2	matrixdb:P14210	matrixdb:Heparan Sulfate(short label)	uniprotkb:HGF(gene name)	psi-mi:"MI:0004"(affinity chromatography technology)	Lyon et al.(1994)	pubmed:8157651	-	taxid:9606("Homo sapiens")	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0917"(MatrixDB)	matrixdb:GAG_2__P14210_8157651_MatrixDB_2	-	-	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0498"(prey)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0904"(polysaccharide)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	-	taxid:-1("in vitro")	-	-	-	-	-	-	-	-	-	-	-	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0078"(nucleotide sequence identification)
chebi:"CHEBI:28815"	uniprotkb:P15502	matrixdb:GAG_2	matrixdb:P15502	matrixdb:Heparan Sulfate(short label)	uniprotkb:ELN(gene name)	psi-mi:"MI:0040"(electron microscopy)	Gheduzzi et al.(2005)	pubmed:15748998	-	taxid:9606("Homo sapiens")	psi-mi:"MI:0403"(colocalization)	psi-mi:"MI:0917"(MatrixDB)	matrixdb:GAG_2__P15502_15748998_MatrixDB_1	-	-	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0497"(neutral component)	psi-mi:"MI:0497"(neutral component)	psi-mi:"MI:0904"(polysaccharide)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	comment:"Figure 1"	taxid:-1("in vitro")	-	-	-	-	-	-	-	-	-	-	-	psi-mi:"MI:0422"(immunostaining)	psi-mi:"MI:0396"(predetermined participant)
chebi:"CHEBI:28815"	uniprotkb:P15692	matrixdb:GAG_2	matrixdb:P15692	matrixdb:Heparan Sulfate(short label)	uniprotkb:VEGFA(gene name)	psi-mi:"MI:0049"(filter binding)	Robinson et al.(2006)	pubmed:16258170	-	taxid:9606("Homo sapiens")	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0917"(MatrixDB)	matrixdb:GAG_2__P15692_16258170_MatrixDB_1	-	-	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0497"(neutral component)	psi-mi:"MI:0497"(neutral component)	psi-mi:"MI:0904"(polysaccharide)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	comment:"Figure 1 and 2"	taxid:-1("in vitro")	-	-	-	-	-	-	-	-	-	-	-	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0396"(predetermined participant)
chebi:"CHEBI:28815"	uniprotkb:P16092	matrixdb:GAG_2	matrixdb:P16092	matrixdb:Heparan Sulfate(short label)	uniprotkb:FGFR1(gene name)	psi-mi:"MI:0892"(solid phase assay)	Powell et al.(2002)	pubmed:12034712	-	taxid:10090("Mus musculus")	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0917"(MatrixDB)	matrixdb:GAG_2__P16092_12034712_MatrixDB_1	-	-	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	psi-mi:"MI:0904"(polysaccharide)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	comment:"Figure 4C"	taxid:-1("in vitro")	-	-	-	-	-	-	-	-	-	-	-	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0078"(nucleotide sequence identification)
